uuid;relative_time_us;agent;source;type;igs_timestamp;value
;23556012;Aircraft;paused;4;;false
;23556279;SmartEyeProBridge;filtered_closest_world_object_name;3;;center_OTW
;23556355;SmartEyeProBridge;pupil_diameter;2;;0.005837
;23556374;SmartEyeProBridge;pupil_diameter_quality;2;;0.953137
;23556443;SmartEyeProBridge;an_saccade;1;;6543
;23556462;SmartEyeProBridge;an_fixation;1;;0
;23556481;SmartEyeProBridge;an_blink;1;;0
;23572388;SmartEyeProBridge;pupil_diameter;2;;0.005719
;23572408;SmartEyeProBridge;pupil_diameter_quality;2;;0.939401
;23589090;SmartEyeProBridge;pupil_diameter;2;;0.005622
;23589126;SmartEyeProBridge;pupil_diameter_quality;2;;0.959180
;23589192;SmartEyeProBridge;an_saccade;1;;0
;23589218;SmartEyeProBridge;an_fixation;1;;6544
;23607795;SmartEyeProBridge;pupil_diameter;2;;0.005512
;23607866;SmartEyeProBridge;pupil_diameter_quality;2;;0.960600
;23608009;SmartEyeProBridge;an_saccade;1;;6544
;23608055;SmartEyeProBridge;an_fixation;1;;0
;23622469;SmartEyeProBridge;pupil_diameter;2;;0.005431
;23622498;SmartEyeProBridge;pupil_diameter_quality;2;;0.960286
;23638828;SmartEyeProBridge;filtered_closest_world_object_name;3;;center_OTW
;23638918;SmartEyeProBridge;pupil_diameter;2;;0.005416
;23638947;SmartEyeProBridge;pupil_diameter_quality;2;;0.921929
;23639091;SmartEyeProBridge;an_blink;1;;0
;23655744;SmartEyeProBridge;pupil_diameter;2;;0.000000
;23655773;SmartEyeProBridge;pupil_diameter_quality;2;;0.000000
;23688592;SmartEyeProBridge;an_saccade;1;;6544
;23688725;SmartEyeProBridge;an_fixation;1;;0
;23722256;SmartEyeProBridge;filtered_closest_world_object_name;3;;center_OTW
;23722573;SmartEyeProBridge;an_blink;1;;0
;23750573;SmartEyeProBridge;an_saccade;1;;0
;23750684;SmartEyeProBridge;an_fixation;1;;6545
;23755311;SmartEyeProBridge;an_saccade;1;;6545
;23755363;SmartEyeProBridge;an_fixation;1;;0
;23772270;SmartEyeProBridge;pupil_diameter;2;;0.000000
;23772301;SmartEyeProBridge;pupil_diameter_quality;2;;0.000000
;23790765;SmartEyeProBridge;an_saccade;1;;0
;23790794;SmartEyeProBridge;an_fixation;1;;6546
;23805053;SmartEyeProBridge;an_blink;1;;0
;23805422;SmartEyeProBridge;filtered_closest_world_object_name;3;;center_OTW
;23821551;SmartEyeProBridge;an_saccade;1;;6546
;23821568;SmartEyeProBridge;an_fixation;1;;0
;23888343;SmartEyeProBridge;filtered_closest_world_object_name;3;;center_OTW
;23888445;SmartEyeProBridge;pupil_diameter;2;;0.000000
;23888484;SmartEyeProBridge;pupil_diameter_quality;2;;0.000000
;23888637;SmartEyeProBridge;an_blink;1;;0
;23912705;SmartEyeProBridge;an_saccade;1;;0
