uuid;relative_time_us;agent;source;type;igs_timestamp;value
;854297722;Aircraft;paused;4;;false
;854304038;SmartEyeProBridge;pupil_diameter;2;;0.000000
;854304068;SmartEyeProBridge;pupil_diameter_quality;2;;0.000000
;854304160;SmartEyeProBridge;an_saccade;1;;8488
;854304191;SmartEyeProBridge;an_fixation;1;;0
;854304220;SmartEyeProBridge;an_blink;1;;0
;854325556;SmartEyeProBridge;pupil_diameter;2;;0.005597
;854325586;SmartEyeProBridge;pupil_diameter_quality;2;;0.825221
;854341545;SmartEyeProBridge;pupil_diameter;2;;0.005677
;854341575;SmartEyeProBridge;pupil_diameter_quality;2;;0.920772
;854341667;SmartEyeProBridge;an_saccade;1;;0
;854341696;SmartEyeProBridge;an_fixation;1;;8489
;854360205;SmartEyeProBridge;pupil_diameter;2;;0.005917
;854360223;SmartEyeProBridge;pupil_diameter_quality;2;;0.916911
;854375174;SmartEyeProBridge;pupil_diameter;2;;0.000000
;854375193;SmartEyeProBridge;pupil_diameter_quality;2;;0.000000
;854391750;SmartEyeProBridge;an_blink;1;;0
;854425133;SmartEyeProBridge;pupil_diameter;2;;0.005927
;854425152;SmartEyeProBridge;pupil_diameter_quality;2;;0.934512
;854425208;SmartEyeProBridge;an_saccade;1;;0
;854425228;SmartEyeProBridge;an_fixation;1;;8489
;854441565;SmartEyeProBridge;pupil_diameter;2;;0.005310
;854441583;SmartEyeProBridge;pupil_diameter_quality;2;;0.918541
;854458749;SmartEyeProBridge;pupil_diameter;2;;0.005118
;854458767;SmartEyeProBridge;pupil_diameter_quality;2;;0.608164
;854474537;Aircraft;airspeed;2;;8.400000
;854474573;Aircraft;verticalSpeed;2;;3.100000
;854474611;Aircraft;e2_n1_percent;2;;89.100000
;854474645;Aircraft;slip;2;;-0.400000
;854474679;Aircraft;l_gen_load;2;;39.000000
;854474712;Aircraft;r_gen_load;2;;39.000000
;854474744;Aircraft;cabin_altitude;2;;102.900000
;854474769;SmartEyeProBridge;pupil_diameter;2;;0.000000
;854474792;Aircraft;fd_pitch_deg;2;;-1.700000
;854474817;SmartEyeProBridge;pupil_diameter_quality;2;;0.000000
;854476010;SmartEyeProBridge;an_saccade;1;;8489
;854476073;SmartEyeProBridge;an_fixation;1;;0
;854476107;SmartEyeProBridge;an_blink;1;;0
;854491669;SmartEyeProBridge;pupil_diameter;2;;0.005708
;854491699;SmartEyeProBridge;pupil_diameter_quality;2;;0.940011
;854516512;SmartEyeProBridge;pupil_diameter;2;;0.005598
;854516543;SmartEyeProBridge;pupil_diameter_quality;2;;0.952322
;854524874;SmartEyeProBridge;pupil_diameter;2;;0.005113
;854524905;SmartEyeProBridge;pupil_diameter_quality;2;;0.791489
;854541364;SmartEyeProBridge;pupil_diameter;2;;0.005012
;854541394;SmartEyeProBridge;pupil_diameter_quality;2;;0.866144
;854564591;Aircraft;pitch;2;;-1.800000
;854564667;Aircraft;roll;2;;0.370000
;854564710;Aircraft;latitude;2;;45.457889
;854564758;Aircraft;longitude;2;;-73.741099
;854567867;SmartEyeProBridge;pupil_diameter;2;;0.005421
;854567899;SmartEyeProBridge;pupil_diameter_quality;2;;0.726015
;854567995;SmartEyeProBridge;an_saccade;1;;8489
;854568025;SmartEyeProBridge;an_fixation;1;;0
;854568055;SmartEyeProBridge;an_blink;1;;0
;854575174;SmartEyeProBridge;filtered_closest_world_object_name;3;;pedestal
;854575267;SmartEyeProBridge;pupil_diameter;2;;0.005194
;854575297;SmartEyeProBridge;pupil_diameter_quality;2;;0.638412
;854596685;SmartEyeProBridge;pupil_diameter;2;;0.005142
;854596717;SmartEyeProBridge;pupil_diameter_quality;2;;0.455671
;854596815;SmartEyeProBridge;an_saccade;1;;0
;854596846;SmartEyeProBridge;an_fixation;1;;8490
;854609025;SmartEyeProBridge;pupil_diameter;2;;0.005138
;854609055;SmartEyeProBridge;pupil_diameter_quality;2;;0.806216
;854631253;SmartEyeProBridge;pupil_diameter;2;;0.000000
;854631286;SmartEyeProBridge;pupil_diameter_quality;2;;0.000000
;854659107;Aircraft;controlRoll;2;;0.000000
;854661444;SmartEyeProBridge;an_blink;1;;0
;854661845;SmartEyeProBridge;filtered_closest_world_object_name;3;;pedestal
;854691982;SmartEyeProBridge;an_saccade;1;;8490
;854692011;SmartEyeProBridge;an_fixation;1;;0
;854741626;SmartEyeProBridge;pupil_diameter;2;;0.000000
;854741656;SmartEyeProBridge;pupil_diameter_quality;2;;0.000000
;854741815;SmartEyeProBridge;an_blink;1;;0
;854748992;Aircraft;airspeed;2;;9.000000
;854749055;Aircraft;verticalSpeed;2;;3.800000
;854749091;Aircraft;e1_n1_percent;2;;23.400000
;854755943;Aircraft;e2_n1_percent;2;;89.300000
;854755998;Aircraft;l_gen_load;2;;37.000000
;854757779;Aircraft;r_gen_load;2;;37.000000
;854765729;SmartEyeProBridge;filtered_closest_world_object_name;3;;pedestal
;854774653;SmartEyeProBridge;an_saccade;1;;8490
;854774684;SmartEyeProBridge;an_fixation;1;;0
;854820162;SmartEyeProBridge;an_saccade;1;;0
;854820205;SmartEyeProBridge;an_fixation;1;;8491
;854824271;SmartEyeProBridge;an_blink;1;;0
;854833387;Aircraft;pitch;2;;-1.870000
;854833470;Aircraft;heading;2;;53.000000
;854835196;Aircraft;roll;2;;0.400000
;854835263;Aircraft;latitude;2;;45.457897
;854835296;Aircraft;longitude;2;;-73.741090
;854858355;SmartEyeProBridge;filtered_closest_world_object_name;3;;pedestal
;854858500;SmartEyeProBridge;pupil_diameter;2;;0.000000
;854858537;SmartEyeProBridge;pupil_diameter_quality;2;;0.000000
;854912890;SmartEyeProBridge;an_saccade;1;;0
;854912919;SmartEyeProBridge;an_fixation;1;;8491
;854912948;SmartEyeProBridge;an_blink;1;;0
;854923879;Aircraft;controlRoll;2;;0.010000
;854946898;SmartEyeProBridge;filtered_closest_world_object_name;3;;pedestal
;854974395;SmartEyeProBridge;pupil_diameter;2;;0.000000
;854974423;SmartEyeProBridge;pupil_diameter_quality;2;;0.000000
;854994227;SmartEyeProBridge;an_saccade;1;;0
;854994262;SmartEyeProBridge;an_fixation;1;;8491
;854994297;SmartEyeProBridge;an_blink;1;;0
;855016085;Aircraft;airspeed;2;;9.300000
;855016128;Aircraft;e2_n1_percent;2;;89.500000
;855016153;Aircraft;l_gen_load;2;;35.000000
;855016177;Aircraft;r_gen_load;2;;35.000000
;855016202;Aircraft;fd_pitch_deg;2;;-1.800000
;855038058;SmartEyeProBridge;filtered_closest_world_object_name;3;;pedestal
;855100556;SmartEyeProBridge;pupil_diameter;2;;0.000000
;855100573;SmartEyeProBridge;pupil_diameter_quality;2;;0.000000
;855103056;SmartEyeProBridge;an_saccade;1;;8491
;855103114;SmartEyeProBridge;an_fixation;1;;0
;855103149;SmartEyeProBridge;an_blink;1;;0
;855105753;Aircraft;pitch;2;;-1.780000
;855106881;Aircraft;latitude;2;;45.457905
;855106956;Aircraft;longitude;2;;-73.741081
;855141100;SmartEyeProBridge;an_saccade;1;;0
;855141123;SmartEyeProBridge;an_fixation;1;;8492
;855156415;SmartEyeProBridge;an_saccade;1;;8492
;855156507;SmartEyeProBridge;an_fixation;1;;0
;855156871;SmartEyeProBridge;filtered_closest_world_object_name;3;;ND
;855203251;SmartEyeProBridge;pupil_diameter;2;;0.000000
;855203274;SmartEyeProBridge;pupil_diameter_quality;2;;0.000000
;855203346;SmartEyeProBridge;an_saccade;1;;0
;855203368;SmartEyeProBridge;an_fixation;1;;8493
;855203392;SmartEyeProBridge;an_blink;1;;0
;855230397;SmartEyeProBridge;an_saccade;1;;8493
;855230427;SmartEyeProBridge;an_fixation;1;;0
;855240842;SmartEyeProBridge;filtered_closest_world_object_name;3;;ND
;855241055;SmartEyeProBridge;an_saccade;1;;0
;855241085;SmartEyeProBridge;an_fixation;1;;8494
;855291610;SmartEyeProBridge;an_blink;1;;0
;855292071;Aircraft;airspeed;2;;9.400000
;855292193;Aircraft;verticalSpeed;2;;3.600000
;855292257;Aircraft;e2_n1_percent;2;;89.600000
;855292314;Aircraft;l_gen_load;2;;34.000000
;855292370;Aircraft;r_gen_load;2;;34.000000
;855292862;SmartEyeProBridge;an_saccade;1;;8494
;855292892;SmartEyeProBridge;an_fixation;1;;0
;855317448;SmartEyeProBridge;pupil_diameter;2;;0.000000
;855317479;SmartEyeProBridge;pupil_diameter_quality;2;;0.000000
;855329150;SmartEyeProBridge;filtered_closest_world_object_name;3;;ND
;855372468;SmartEyeProBridge;an_blink;1;;0
;855373116;SmartEyeProBridge;an_saccade;1;;8494
;855373161;SmartEyeProBridge;an_fixation;1;;0
;855377732;Aircraft;pitch;2;;-1.800000
;855377842;Aircraft;roll;2;;0.390000
;855377884;Aircraft;latitude;2;;45.457912
;855378428;Aircraft;longitude;2;;-73.741073
;855423475;SmartEyeProBridge;filtered_closest_world_object_name;3;;ND
;855423563;SmartEyeProBridge;pupil_diameter;2;;0.000000
;855423593;SmartEyeProBridge;pupil_diameter_quality;2;;0.000000
;855472447;SmartEyeProBridge;an_saccade;1;;8494
;855472477;SmartEyeProBridge;an_fixation;1;;0
;855472509;SmartEyeProBridge;an_blink;1;;0
;855513598;SmartEyeProBridge;filtered_closest_world_object_name;3;;ND
;855523699;SmartEyeProBridge;pupil_diameter;2;;0.000000
;855523730;SmartEyeProBridge;pupil_diameter_quality;2;;0.000000
;855556796;SmartEyeProBridge;an_saccade;1;;8494
;855556835;SmartEyeProBridge;an_fixation;1;;0
;855556865;SmartEyeProBridge;an_blink;1;;0
;855560231;Aircraft;airspeed;2;;9.300000
;855560308;Aircraft;verticalSpeed;2;;3.300000
;855560350;Aircraft;e2_n1_percent;2;;89.700000
;855560390;Aircraft;l_gen_load;2;;33.000000
;855560427;Aircraft;r_gen_load;2;;33.000000
;855561056;Aircraft;fd_pitch_deg;2;;-1.700000
;855584546;SmartEyeProBridge;filtered_closest_world_object_name;3;;right_OTW
;855640329;SmartEyeProBridge;pupil_diameter;2;;0.000000
;855640367;SmartEyeProBridge;pupil_diameter_quality;2;;0.000000
